CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;21/03/2018;10;0,235;R
ES0021000001720511XQ;21/03/2018;11;0,222;R
ES0021000001720511XQ;21/03/2018;12;0,223;R
ES0021000001720511XQ;21/03/2018;13;0,262;R
ES0021000001720511XQ;21/03/2018;14;0,307;R
ES0021000001720511XQ;21/03/2018;15;0,350;R
ES0021000001720511XQ;21/03/2018;16;0,886;R
ES0021000001720511XQ;21/03/2018;17;1,010;R
ES0021000001720511XQ;21/03/2018;18;0,340;R
ES0021000001720511XQ;21/03/2018;19;0,332;R
ES0021000001720511XQ;21/03/2018;20;0,323;R
ES0021000001720511XQ;21/03/2018;21;1,145;R
ES0021000001720511XQ;21/03/2018;22;0,784;R
ES0021000001720511XQ;21/03/2018;23;1,112;R
ES0021000001720511XQ;21/03/2018;24;0,868;R
ES0021000001720511XQ;22/03/2018;1;0,411;E
ES0021000001720511XQ;22/03/2018;2;0,328;E
ES0021000001720511XQ;22/03/2018;3;0,290;E
ES0021000001720511XQ;22/03/2018;4;0,274;E
ES0021000001720511XQ;22/03/2018;5;0,269;E
